candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes,
Larry D Bucshon,U S House,8,REP,Dubois,Bainbridge 1,47,27,0,74,
Rachel Covington,U S House,8,REP,Dubois,Bainbridge 1,5,3,0,8,
Richard Moss,U S House,8,REP,Dubois,Bainbridge 1,29,12,0,41,
William Tanoos,U S House,8,DEM,Dubois,Bainbridge 1,12,9,0,21,
Mark Messmer,State Senate,48,REP,Dubois,Bainbridge 1,75,43,0,118,
No Candidate Filed,State Senate,48,DEM,Dubois,Bainbridge 1,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Bainbridge 1,70,41,0,111,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Bainbridge 1,14,7,0,21,
Dennis Tedrow,State Representative,63,DEM,Dubois,Bainbridge 1,6,4,0,10,
,Registered Voters,,,Dubois,Bainbridge 2E,,,,774,
,Ballots Cast,,,Dubois,Bainbridge 2E,56,78,0,134,
Mike Braun,U S Senate,,REP,Dubois,Bainbridge 2E,20,34,0,54,
Luke Messer,U S Senate,,REP,Dubois,Bainbridge 2E,3,3,0,6,
Todd Rokita,U S Senate,,REP,Dubois,Bainbridge 2E,2,3,0,5,
Joe Donnelly,U S Senate,,DEM,Dubois,Bainbridge 2E,27,30,0,57,
Larry D Bucshon,U S House,8,REP,Dubois,Bainbridge 2E,13,15,0,28,
Rachel Covington,U S House,8,REP,Dubois,Bainbridge 2E,4,7,0,11,
Richard Moss,U S House,8,REP,Dubois,Bainbridge 2E,8,16,0,24,
William Tanoos,U S House,8,DEM,Dubois,Bainbridge 2E,27,23,0,50,
Mark Messmer,State Senate,48,REP,Dubois,Bainbridge 2E,24,36,0,60,
No Candidate Filed,State Senate,48,DEM,Dubois,Bainbridge 2E,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Bainbridge 2E,23,36,0,59,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Bainbridge 2E,20,24,0,44,
Dennis Tedrow,State Representative,63,DEM,Dubois,Bainbridge 2E,10,6,0,16,
,Registered Voters,,,Dubois,Bainbridge 2W,,,,1415,
,Ballots Cast,,,Dubois,Bainbridge 2W,203,163,0,366,
Mike Braun,U S Senate,,REP,Dubois,Bainbridge 2W,128,89,0,217,
Luke Messer,U S Senate,,REP,Dubois,Bainbridge 2W,7,7,0,14,
Todd Rokita,U S Senate,,REP,Dubois,Bainbridge 2W,11,8,0,19,
Joe Donnelly,U S Senate,,DEM,Dubois,Bainbridge 2W,43,49,0,92,
Larry D Bucshon,U S House,8,REP,Dubois,Bainbridge 2W,77,53,0,130,
Rachel Covington,U S House,8,REP,Dubois,Bainbridge 2W,11,10,0,21,
Richard Moss,U S House,8,REP,Dubois,Bainbridge 2W,55,35,0,90,
William Tanoos,U S House,8,DEM,Dubois,Bainbridge 2W,35,45,0,80,
Mark Messmer,State Senate,48,REP,Dubois,Bainbridge 2W,141,99,0,240,
No Candidate Filed,State Senate,48,DEM,Dubois,Bainbridge 2W,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Bainbridge 2W,134,94,0,228,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Bainbridge 2W,36,36,0,72,
Dennis Tedrow,State Representative,63,DEM,Dubois,Bainbridge 2W,9,15,0,24,
,Registered Voters,,,Dubois,Bainbridge 3E,,,,1064,
,Ballots Cast,,,Dubois,Bainbridge 3E,156,136,0,292,
Mike Braun,U S Senate,,REP,Dubois,Bainbridge 3E,99,86,0,185,
Luke Messer,U S Senate,,REP,Dubois,Bainbridge 3E,8,6,0,14,
Todd Rokita,U S Senate,,REP,Dubois,Bainbridge 3E,4,9,0,13,
Joe Donnelly,U S Senate,,DEM,Dubois,Bainbridge 3E,32,27,0,59,
Larry D Bucshon,U S House,8,REP,Dubois,Bainbridge 3E,38,51,0,89,
Rachel Covington,U S House,8,REP,Dubois,Bainbridge 3E,10,9,0,19,
Richard Moss,U S House,8,REP,Dubois,Bainbridge 3E,58,39,0,97,
William Tanoos,U S House,8,DEM,Dubois,Bainbridge 3E,33,26,0,59,
Mark Messmer,State Senate,48,REP,Dubois,Bainbridge 3E,103,94,0,197,
No Candidate Filed,State Senate,48,DEM,Dubois,Bainbridge 3E,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Bainbridge 3E,101,95,0,196,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Bainbridge 3E,28,27,0,55,
Dennis Tedrow,State Representative,63,DEM,Dubois,Bainbridge 3E,11,6,0,17,
,Registered Voters,,,Dubois,Bainbridge 3W,,,,0,
,Ballots Cast,,,Dubois,Bainbridge 3W,173,142,0,315,
Mike Braun,U S Senate,,REP,Dubois,Bainbridge 3W,122,108,0,230,
Luke Messer,U S Senate,,REP,Dubois,Bainbridge 3W,9,6,0,15,
Todd Rokita,U S Senate,,REP,Dubois,Bainbridge 3W,7,2,0,9,
Joe Donnelly,U S Senate,,DEM,Dubois,Bainbridge 3W,30,23,0,53,
Larry D Bucshon,U S House,8,REP,Dubois,Bainbridge 3W,71,62,0,133,
Rachel Covington,U S House,8,REP,Dubois,Bainbridge 3W,12,11,0,23,
Richard Moss,U S House,8,REP,Dubois,Bainbridge 3W,52,38,0,90,
William Tanoos,U S House,8,DEM,Dubois,Bainbridge 3W,25,20,0,45,
Mark Messmer,State Senate,48,REP,Dubois,Bainbridge 3W,127,111,0,238,
No Candidate Filed,State Senate,48,DEM,Dubois,Bainbridge 3W,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Bainbridge 3W,128,107,0,235,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Bainbridge 3W,24,19,0,43,
Dennis Tedrow,State Representative,63,DEM,Dubois,Bainbridge 3W,8,5,0,13,
,Registered Voters,,,Dubois,Bainbridge 4N,,,,1021,
,Ballots Cast,,,Dubois,Bainbridge 4N,139,91,0,230,
Mike Braun,U S Senate,,REP,Dubois,Bainbridge 4N,81,48,0,129,
Luke Messer,U S Senate,,REP,Dubois,Bainbridge 4N,11,3,0,14,
Todd Rokita,U S Senate,,REP,Dubois,Bainbridge 4N,10,4,0,14,
Joe Donnelly,U S Senate,,DEM,Dubois,Bainbridge 4N,31,28,0,59,
Larry D Bucshon,U S House,8,REP,Dubois,Bainbridge 4N,47,36,0,83,
Rachel Covington,U S House,8,REP,Dubois,Bainbridge 4N,15,3,0,18,
Richard Moss,U S House,8,REP,Dubois,Bainbridge 4N,37,12,0,49,
William Tanoos,U S House,8,DEM,Dubois,Bainbridge 4N,25,22,0,47,
Mark Messmer,State Senate,48,REP,Dubois,Bainbridge 4N,94,54,0,148,
No Candidate Filed,State Senate,48,DEM,Dubois,Bainbridge 4N,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Bainbridge 4N,85,51,0,136,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Bainbridge 4N,19,23,0,42,
Dennis Tedrow,State Representative,63,DEM,Dubois,Bainbridge 4N,12,9,0,21,
,Registered Voters,,,Dubois,Bainbridge 4S,,,,941,
,Ballots Cast,,,Dubois,Bainbridge 4S,138,93,0,231,
Mike Braun,U S Senate,,REP,Dubois,Bainbridge 4S,91,52,0,143,
Luke Messer,U S Senate,,REP,Dubois,Bainbridge 4S,8,2,0,10,
Todd Rokita,U S Senate,,REP,Dubois,Bainbridge 4S,5,7,0,12,
Joe Donnelly,U S Senate,,DEM,Dubois,Bainbridge 4S,30,25,0,55,
Larry D Bucshon,U S House,8,REP,Dubois,Bainbridge 4S,51,24,0,75,
Rachel Covington,U S House,8,REP,Dubois,Bainbridge 4S,10,6,0,16,
Richard Moss,U S House,8,REP,Dubois,Bainbridge 4S,40,27,0,67,
William Tanoos,U S House,8,DEM,Dubois,Bainbridge 4S,28,18,0,46,
Mark Messmer,State Senate,48,REP,Dubois,Bainbridge 4S,94,48,0,142,
No Candidate Filed,State Senate,48,DEM,Dubois,Bainbridge 4S,48,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Bainbridge 4S,93,46,0,139,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Bainbridge 4S,24,15,0,39,
Dennis Tedrow,State Representative,63,DEM,Dubois,Bainbridge 4S,9,7,0,16,
,Registered Voters,,,Dubois,Bainbridge 5N,,,,985,
,Ballots Cast,,,Dubois,Bainbridge 5N,63,53,0,116,
Mike Braun,U S Senate,,REP,Dubois,Bainbridge 5N,30,30,0,60,
Luke Messer,U S Senate,,REP,Dubois,Bainbridge 5N,13,1,0,14,
Todd Rokita,U S Senate,,REP,Dubois,Bainbridge 5N,8,5,0,13,
Joe Donnelly,U S Senate,,DEM,Dubois,Bainbridge 5N,9,11,0,20,
Larry D Bucshon,U S House,8,REP,Dubois,Bainbridge 5N,23,23,0,46,
Rachel Covington,U S House,8,REP,Dubois,Bainbridge 5N,5,5,0,10,
Richard Moss,U S House,8,REP,Dubois,Bainbridge 5N,22,8,0,30,
William Tanoos,U S House,8,DEM,Dubois,Bainbridge 5N,9,7,0,16,
Mark Messmer,State Senate,48,REP,Dubois,Bainbridge 5N,46,34,0,80,
No Candidate Filed,State Senate,48,DEM,Dubois,Bainbridge 5N,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Bainbridge 5N,45,30,0,75,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Bainbridge 5N,7,8,0,13,
Dennis Tedrow,State Representative,63,DEM,Dubois,Bainbridge 5N,3,7,0,10,
,Registered Voters,,,Dubois,Bainbridge 5S,,,,885,
,Ballots Cast,,,Dubois,Bainbridge 5S,80,74,0,154,
Mike Braun,U S Senate,,REP,Dubois,Bainbridge 5S,48,36,0,84,
Luke Messer,U S Senate,,REP,Dubois,Bainbridge 5S,5,4,0,9,
Todd Rokita,U S Senate,,REP,Dubois,Bainbridge 5S,3,1,0,4,
Joe Donnelly,U S Senate,,DEM,Dubois,Bainbridge 5S,20,27,0,47,
Larry D Bucshon,U S House,8,REP,Dubois,Bainbridge 5S,22,23,0,45,
Rachel Covington,U S House,8,REP,Dubois,Bainbridge 5S,7,4,0,11,
Richard Moss,U S House,8,REP,Dubois,Bainbridge 5S,26,13,0,39,
William Tanoos,U S House,8,DEM,Dubois,Bainbridge 5S,15,21,0,36,
Mark Messmer,State Senate,48,REP,Dubois,Bainbridge 5S,51,39,0,90,
No Candidate Filed,State Senate,48,DEM,Dubois,Bainbridge 5S,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Bainbridge 5S,47,36,0,83,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Bainbridge 5S,19,13,0,32,
Dennis Tedrow,State Representative,63,DEM,Dubois,Bainbridge 5S,4,11,0,15,
,Registered Voters,,,Dubois,Bainbridge 6N,,,,995,
,Ballots Cast,,,Dubois,Bainbridge 6N,144,78,0,222,
Mike Braun,U S Senate,,REP,Dubois,Bainbridge 6N,93,49,0,142,
Luke Messer,U S Senate,,REP,Dubois,Bainbridge 6N,8,1,0,9,
Todd Rokita,U S Senate,,REP,Dubois,Bainbridge 6N,6,4,0,10,
Joe Donnelly,U S Senate,,DEM,Dubois,Bainbridge 6N,29,19,0,48,
Larry D Bucshon,U S House,8,REP,Dubois,Bainbridge 6N,58,23,0,81,
Rachel Covington,U S House,8,REP,Dubois,Bainbridge 6N,11,5,0,16,
Richard Moss,U S House,8,REP,Dubois,Bainbridge 6N,33,23,0,56,
William Tanoos,U S House,8,DEM,Dubois,Bainbridge 6N,25,15,0,40,
Mark Messmer,State Senate,48,REP,Dubois,Bainbridge 6N,105,51,0,156,
No Candidate Filed,State Senate,48,DEM,Dubois,Bainbridge 6N,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Bainbridge 6N,97,48,0,145,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Bainbridge 6N,20,20,0,40,
Dennis Tedrow,State Representative,63,DEM,Dubois,Bainbridge 6N,10,3,0,13,
,Registered Voters,,,Dubois,Bainbridge 6S,,,,1059,
,Ballots Cast,,,Dubois,Bainbridge 6S,138,154,0,292,
Mike Braun,U S Senate,,REP,Dubois,Bainbridge 6S,105,85,0,190,
Luke Messer,U S Senate,,REP,Dubois,Bainbridge 6S,5,4,0,9,
Todd Rokita,U S Senate,,REP,Dubois,Bainbridge 6S,3,9,0,12,
Joe Donnelly,U S Senate,,DEM,Dubois,Bainbridge 6S,19,43,0,62,
Larry D Bucshon,U S House,8,REP,Dubois,Bainbridge 6S,45,59,0,104,
Rachel Covington,U S House,8,REP,Dubois,Bainbridge 6S,13,6,0,19,
Richard Moss,U S House,8,REP,Dubois,Bainbridge 6S,47,29,0,76,
William Tanoos,U S House,8,DEM,Dubois,Bainbridge 6S,17,31,0,48,
Mark Messmer,State Senate,48,REP,Dubois,Bainbridge 6S,99,92,0,191,
No Candidate Filed,State Senate,48,DEM,Dubois,Bainbridge 6S,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Bainbridge 6S,98,91,0,189,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Bainbridge 6S,14,27,0,41,
Dennis Tedrow,State Representative,63,DEM,Dubois,Bainbridge 6S,7,14,0,21,
,Registered Voters,,,Dubois,Jackson 1,,,,741,
,Ballots Cast,,,Dubois,Jackson 1,116,32,0,148,
Mike Braun,U S Senate,,REP,Dubois,Jackson 1,49,14,0,63,
Luke Messer,U S Senate,,REP,Dubois,Jackson 1,9,2,0,11,
Todd Rokita,U S Senate,,REP,Dubois,Jackson 1,5,2,0,7,
Joe Donnelly,U S Senate,,DEM,Dubois,Jackson 1,46,10,0,56,
Larry D Bucshon,U S House,8,REP,Dubois,Jackson 1,28,9,0,37,
Rachel Covington,U S House,8,REP,Dubois,Jackson 1,8,2,0,10,
Richard Moss,U S House,8,REP,Dubois,Jackson 1,25,7,0,32,
William Tanoos,U S House,8,DEM,Dubois,Jackson 1,32,7,0,39,
Erin Houchin,State Senate,47,REP,Dubois,Jackson 1,51,16,0,67,
Nicholas A (Nick) Siler,State Senate,47,DEM,Dubois,Jackson 1,33,8,0,41,
Stephen R Bartels,State Representative,74,REP,Dubois,Jackson 1,51,16,0,67,
Larry D Bucshon,State Representative,74,DEM,Dubois,Jackson 1,41,9,0,50,
,Registered Voters,,,Dubois,Jackson 2,,,,895,
,Ballots Cast,,,Dubois,Jackson 2,127,38,0,165,
Mike Braun,U S Senate,,REP,Dubois,Jackson 2,68,24,0,92,
Luke Messer,U S Senate,,REP,Dubois,Jackson 2,10,1,0,11,
Todd Rokita,U S Senate,,REP,Dubois,Jackson 2,5,1,0,6,
Joe Donnelly,U S Senate,,DEM,Dubois,Jackson 2,37,10,0,47,
Larry D Bucshon,U S House,8,REP,Dubois,Jackson 2,39,17,0,56,
Rachel Covington,U S House,8,REP,Dubois,Jackson 2,10,3,0,13,
Richard Moss,U S House,8,REP,Dubois,Jackson 2,31,5,0,36,
William Tanoos,U S House,8,DEM,Dubois,Jackson 2,33,6,0,39,
Erin Houchin,State Senate,47,REP,Dubois,Jackson 2,67,20,0,87,
Nicholas A (Nick) Siler,State Senate,47,DEM,Dubois,Jackson 2,36,7,0,43,
Stephen R Bartels,State Representative,74,REP,Dubois,Jackson 2,67,21,0,88,
Larry K Kleeman,State Representative,74,DEM,Dubois,Jackson 2,34,9,0,43,
,Registered Voters,,,Dubois,Jefferson 1,,,,781,
,Ballots Cast,,,Dubois,Jefferson 1,53,54,0,107,
Mike Braun,U S Senate,,REP,Dubois,Jefferson 1,20,22,0,42,
Luke Messer,U S Senate,,REP,Dubois,Jefferson 1,4,3,0,7,
Todd Rokita,U S Senate,,REP,Dubois,Jefferson 1,4,3,0,7,
Joe Donnelly,U S Senate,,DEM,Dubois,Jefferson 1,22,19,0,41,
Larry D Bucshon,U S House,8,REP,Dubois,Jefferson 1,12,11,0,23,
Rachel Covington,U S House,8,REP,Dubois,Jefferson 1,3,3,0,6,
Richard Moss,U S House,8,REP,Dubois,Jefferson 1,13,14,0,27,
William Tanoos,U S House,8,DEM,Dubois,Jefferson 1,17,14,0,31,
Erin Houchin,State Senate,47,REP,Dubois,Jefferson 1,26,23,0,49,
Nicholas A (Nick) Siler,State Senate,47,DEM,Dubois,Jefferson 1,19,15,0,34,
Stephen R Bartels,State Representative,74,REP,Dubois,Jefferson 1,22,21,0,43,
Larry K Kleeman,State Representative,74,DEM,Dubois,Jefferson 1,20,19,0,39,
,Registered Voters,,,Dubois,Jefferson 2,,,,255,
,Ballots Cast,,,Dubois,Jefferson 2,10,89,0,99,
Mike Braun,U S Senate,,REP,Dubois,Jefferson 2,2,13,0,15,
Luke Messer,U S Senate,,REP,Dubois,Jefferson 2,0,6,0,6,
Todd Rokita,U S Senate,,REP,Dubois,Jefferson 2,1,0,0,1,
Joe Donnelly,U S Senate,,DEM,Dubois,Jefferson 2,7,41,0,48,
Larry D Bucshon,U S House,8,REP,Dubois,Jefferson 2,0,3,0,3,
Rachel Covington,U S House,8,REP,Dubois,Jefferson 2,0,4,0,4,
Richard Moss,U S House,8,REP,Dubois,Jefferson 2,3,12,0,15,
William Tanoos,U S House,8,DEM,Dubois,Jefferson 2,5,40,0,45,
Erin Houchin,State Senate,47,REP,Dubois,Jefferson 2,3,20,0,23,
Nicholas A (Nick) Siler,State Senate,47,DEM,Dubois,Jefferson 2,5,43,0,48,
Stephen R Bartels,State Representative,74,REP,Dubois,Jefferson 2,3,18,0,21,
Larry K Kleeman,State Representative,74,DEM,Dubois,Jefferson 2,6,53,0,59,
,Registered Voters,,,Dubois,Madison 1,,,,575,
,Ballots Cast,,,Dubois,Madison 1,101,24,0,125,
Mike Braun,U S Senate,,REP,Dubois,Madison 1,70,18,0,88,
Luke Messer,U S Senate,,REP,Dubois,Madison 1,6,2,0,8,
Todd Rokita,U S Senate,,REP,Dubois,Madison 1,2,0,0,2,
Joe Donnelly,U S Senate,,DEM,Dubois,Madison 1,12,3,0,15,
Larry D Bucshon,U S House,8,REP,Dubois,Madison 1,34,8,0,42,
Rachel Covington,U S House,8,REP,Dubois,Madison 1,12,0,0,12,
Richard Moss,U S House,8,REP,Dubois,Madison 1,28,8,0,36,
William Tanoos,U S House,8,DEM,Dubois,Madison 1,10,2,0,12,
Mark Messmer,State Senate,48,REP,Dubois,Madison 1,70,19,0,89,
No Candidate Filed,State Senate,48,DEM,Dubois,Madison 1,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Madison 1,70,18,0,88,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Madison 1,12,2,0,14,
Dennis Tedrow,State Representative,63,DEM,Dubois,Madison 1,7,2,0,9,
,Registered Voters,,,Dubois,Madison 2,,,,1081,
,Ballots Cast,,,Dubois,Madison 2,149,72,0,221,
Mike Braun,U S Senate,,REP,Dubois,Madison 2,94,39,0,133,
Luke Messer,U S Senate,,REP,Dubois,Madison 2,3,2,0,5,
Todd Rokita,U S Senate,,REP,Dubois,Madison 2,7,0,0,7,
Joe Donnelly,U S Senate,,DEM,Dubois,Madison 2,32,27,0,59,
Larry D Bucshon,U S House,8,REP,Dubois,Madison 2,46,20,0,66,
Rachel Covington,U S House,8,REP,Dubois,Madison 2,12,6,0,18,
Richard Moss,U S House,8,REP,Dubois,Madison 2,42,12,0,54,
William Tanoos,U S House,8,DEM,Dubois,Madison 2,24,19,0,43,
Mark Messmer,State Senate,48,REP,Dubois,Madison 2,99,40,0,139,
No Candidate Filed,State Senate,48,DEM,Dubois,Madison 2,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Madison 2,95,39,0,134,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Madison 2,23,22,0,45,
Dennis Tedrow,State Representative,63,DEM,Dubois,Madison 2,14,2,0,16,
,Registered Voters,,,Dubois,Madison-Jasper North,,,,414,
,Ballots Cast,,,Dubois,Madison-Jasper North,73,20,0,93,
Mike Braun,U S Senate,,REP,Dubois,Madison-Jasper North,65,19,0,84,
Luke Messer,U S Senate,,REP,Dubois,Madison-Jasper North,2,0,0,2,
Todd Rokita,U S Senate,,REP,Dubois,Madison-Jasper North,0,1,0,1,
Joe Donnelly,U S Senate,,DEM,Dubois,Madison-Jasper North,4,0,0,4,
Larry D Bucshon,U S House,8,REP,Dubois,Madison-Jasper North,33,15,0,48,
Rachel Covington,U S House,8,REP,Dubois,Madison-Jasper North,3,2,0,5,
Richard Moss,U S House,8,REP,Dubois,Madison-Jasper North,30,3,0,33,
William Tanoos,U S House,8,DEM,Dubois,Madison-Jasper North,4,0,0,4,
Mark Messmer,State Senate,48,REP,Dubois,Madison-Jasper North,64,20,0,84,
No Candidate Filed,State Senate,48,DEM,Dubois,Madison-Jasper North,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Madison-Jasper North,63,18,0,81,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Madison-Jasper North,1,0,0,1,
Dennis Tedrow,State Representative,63,DEM,Dubois,Madison-Jasper North,3,0,0,3,
,Registered Voters,,,Dubois,Madison-Jasper South,,,,91,
,Ballots Cast,,,Dubois,Madison-Jasper South,9,5,0,14,
Mike Braun,U S Senate,,REP,Dubois,Madison-Jasper South,5,4,0,9,
Luke Messer,U S Senate,,REP,Dubois,Madison-Jasper South,0,0,0,0,
Todd Rokita,U S Senate,,REP,Dubois,Madison-Jasper South,0,0,0,0,
Joe Donnelly,U S Senate,,DEM,Dubois,Madison-Jasper South,2,1,0,3,
Larry D Bucshon,U S House,8,REP,Dubois,Madison-Jasper South,2,1,0,3,
Rachel Covington,U S House,8,REP,Dubois,Madison-Jasper South,0,0,0,0,
Richard Moss,U S House,8,REP,Dubois,Madison-Jasper South,2,3,0,5,
William Tanoos,U S House,8,DEM,Dubois,Madison-Jasper South,2,0,0,2,
Mark Messmer,State Senate,48,REP,Dubois,Madison-Jasper South,5,4,0,9,
No Candidate Filed,State Senate,48,DEM,Dubois,Madison-Jasper South,0,0,0,0,
Shane M Lindauer,State Representative,63,REP,Dubois,Madison-Jasper South,5,3,0,8,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Madison-Jasper South,3,1,0,4,
Dennis Tedrow,State Representative,63,DEM,Dubois,Madison-Jasper South,0,0,0,0,
,Registered Voters,,,Dubois,Marion 1,,,,282,
,Ballots Cast,,,Dubois,Marion 1,41,11,0,52,
Mike Braun,U S Senate,,REP,Dubois,Marion 1,22,5,0,27,
Luke Messer,U S Senate,,REP,Dubois,Marion 1,1,0,0,1,
Todd Rokita,U S Senate,,REP,Dubois,Marion 1,3,2,0,5,
Joe Donnelly,U S Senate,,DEM,Dubois,Marion 1,11,3,0,14,
Larry D Bucshon,U S House,8,REP,Dubois,Marion 1,18,5,0,23,
Rachel Covington,U S House,8,REP,Dubois,Marion 1,0,0,0,0,
Richard Moss,U S House,8,REP,Dubois,Marion 1,9,2,0,11,
William Tanoos,U S House,8,DEM,Dubois,Marion 1,9,3,0,12,
Erin Houchin,State Senate,47,REP,Dubois,Marion 1,26,6,0,32,
Nicholas A (Nick) Siler,State Senate,47,DEM,Dubois,Marion 1,9,2,0,11,
Shane M Lindauer,State Representative,63,REP,Dubois,Marion 1,26,7,0,33,
"Joseph ""Joe"" Lannan",State Representative,63,DEM,Dubois,Marion 1,9,2,0,11,
Dennis Tedrow,State Representative,63,DEM,Dubois,Marion 1,5,1,0,6,
