county,precinct,office,district,candidate,party,votes,absentee,election_day,provisional
Marshall,BOURBON 1,Registered Voters,,,,908,,,
Marshall,BOURBON 1,Ballots Cast,,,,363,,,
Marshall,BOURBON 1,U.S. Senate,,Mike Braun,R,338,86,252,0
Marshall,BOURBON 1,U.S. Senate,,Joe Donnelly,D,128,31,97,0
Marshall,BOURBON 1,U.S. Senate,,Lucy M Brenton,L,15,3,12,0
Marshall,BOURBON 1,U.S. Senate,,Write in,,0,0,0,0
Marshall,BOURBON 1,Secretary of State,,Connie Lawson,R,374,90,284,0
Marshall,BOURBON 1,Secretary of State,,Jim Harper,D,85,23,62,0
Marshall,BOURBON 1,Secretary of State,,Mark W. Rutherford,L,15,3,12,0
Marshall,BOURBON 1,Secretary of State,,Write in,,0,0,0,0
Marshall,BOURBON 1,Auditor of State,,Tera Klutz,R,357,88,269,0
Marshall,BOURBON 1,Auditor of State,,Joselyn Whitticker,D,102,25,77,0
Marshall,BOURBON 1,Auditor of State,,John Schick,L,12,2,10,0
Marshall,BOURBON 1,Treasurer of State,,Kelly Mitchell,R,376,87,289,0
Marshall,BOURBON 1,Treasurer of State,,John C. Aguilera,D,92,25,67,0
Marshall,BOURBON 1,U.S. House,2,Jackie Walorski,R,359,90,269,0
Marshall,BOURBON 1,U.S. House,2,Mel Hall,D,119,28,91,0
Marshall,BOURBON 1,U.S. House,2,Write in,,0,0,0,0
Marshall,BOURBON 1,State Representative,17,Jack Jordan,R,364,86,278,0
Marshall,BOURBON 1,State Representative,17,Michelle Livinghouse,D,106,28,78,0
Marshall,BOURBON 2,Registered Voters,,,,886,,,
Marshall,BOURBON 2,Ballots Cast,,,,370,,,
Marshall,BOURBON 2,U.S. Senate,,Mike Braun,R,336,65,271,0
Marshall,BOURBON 2,U.S. Senate,,Joe Donnelly,D,115,30,85,0
Marshall,BOURBON 2,U.S. Senate,,Lucy M Brenton,L,12,1,11,0
Marshall,BOURBON 2,U.S. Senate,,Write in,,0,0,0,0
Marshall,BOURBON 2,Secretary of State,,Connie Lawson,R,358,70,288,0
Marshall,BOURBON 2,Secretary of State,,Jim Harper,D,86,23,63,0
Marshall,BOURBON 2,Secretary of State,,Mark W. Rutherford,L,16,2,14,0
Marshall,BOURBON 2,Secretary of State,,Write in,,0,0,0,0
Marshall,BOURBON 2,Auditor of State,,Tera Klutz,R,348,66,282,0
Marshall,BOURBON 2,Auditor of State,,Joselyn Whitticker,D,97,27,70,0
Marshall,BOURBON 2,Auditor of State,,John Schick,L,14,2,12,0
Marshall,BOURBON 2,Treasurer of State,,Kelly Mitchell,R,373,72,301,0
Marshall,BOURBON 2,Treasurer of State,,John C. Aguilera,D,87,24,63,0
Marshall,BOURBON 2,U.S. House,2,Jackie Walorski,R,335,69,266,0
Marshall,BOURBON 2,U.S. House,2,Mel Hall,D,124,27,97,0
Marshall,BOURBON 2,U.S. House,2,Write in,,1,0,1,0
Marshall,BOURBON 2,State Representative,17,Jack Jordan,R,362,67,295,0
Marshall,BOURBON 2,State Representative,17,Michelle Livinghouse,D,98,27,71,0
Marshall,CENTER 1,Registered Voters,,,,1073,,,
Marshall,CENTER 1,Ballots Cast,,,,243,,,
Marshall,CENTER 1,U.S. Senate,,Mike Braun,R,184,69,115,0
Marshall,CENTER 1,U.S. Senate,,Joe Donnelly,D,165,58,107,0
Marshall,CENTER 1,U.S. Senate,,Lucy M Brenton,L,16,1,15,0
Marshall,CENTER 1,U.S. Senate,,Write in,,0,0,0,0
Marshall,CENTER 1,Secretary of State,,Connie Lawson,R,204,76,128,0
Marshall,CENTER 1,Secretary of State,,Jim Harper,D,145,49,96,0
Marshall,CENTER 1,Secretary of State,,Mark W. Rutherford,L,12,1,11,0
Marshall,CENTER 1,Secretary of State,,Write in,,0,0,0,0
Marshall,CENTER 1,Auditor of State,,Tera Klutz,R,203,79,124,0
Marshall,CENTER 1,Auditor of State,,Joselyn Whitticker,D,142,44,98,0
Marshall,CENTER 1,Auditor of State,,John Schick,L,12,1,11,0
Marshall,CENTER 1,Treasurer of State,,Kelly Mitchell,R,216,79,137,0
Marshall,CENTER 1,Treasurer of State,,John C. Aguilera,D,142,46,96,0
Marshall,CENTER 1,U.S. House,2,Jackie Walorski,R,177,68,109,0
Marshall,CENTER 1,U.S. House,2,Mel Hall,D,186,59,127,0
Marshall,CENTER 1,U.S. House,2,Write in,,1,1,0,0
Marshall,CENTER 1,State Representative,17,Jack Jordan,R,205,76,129,0
Marshall,CENTER 1,State Representative,17,Michelle Livinghouse,D,156,0,106,0
Marshall,CENTER 2,Registered Voters,,,,1382,,,
Marshall,CENTER 2,Ballots Cast,,,,373,,,
Marshall,CENTER 2,U.S. Senate,,Mike Braun,R,296,116,180,0
Marshall,CENTER 2,U.S. Senate,,Joe Donnelly,D,291,124,167,0
Marshall,CENTER 2,U.S. Senate,,Lucy M Brenton,L,35,10,25,0
Marshall,CENTER 2,U.S. Senate,,Write in,,0,0,0,0
Marshall,CENTER 2,Secretary of State,,Connie Lawson,R,368,155,213,0
Marshall,CENTER 2,Secretary of State,,Jim Harper,D,227,91,136,0
Marshall,CENTER 2,Secretary of State,,Mark W. Rutherford,L,24,6,18,0
Marshall,CENTER 2,Secretary of State,,Write in,,0,0,0,0
Marshall,CENTER 2,Auditor of State,,Tera Klutz,R,351,151,200,0
Marshall,CENTER 2,Auditor of State,,Joselyn Whitticker,D,231,92,139,0
Marshall,CENTER 2,Auditor of State,,John Schick,L,31,7,24,0
Marshall,CENTER 2,Treasurer of State,,Kelly Mitchell,R,373,157,216,0
Marshall,CENTER 2,Treasurer of State,,John C. Aguilera,D,238,91,147,0
Marshall,CENTER 2,U.S. House,2,Jackie Walorski,R,323,142,181,0
Marshall,CENTER 2,U.S. House,2,Mel Hall,D,294,108,186,0
Marshall,CENTER 2,U.S. House,2,Write in,,0,0,0,0
Marshall,CENTER 2,State Representative,17,Jack Jordan,R,344,147,197,0
Marshall,CENTER 2,State Representative,17,Michelle Livinghouse,D,273,104,169,0
Marshall,CENTER 3,Registered Voters,,,,1535,,,
Marshall,CENTER 3,Ballots Cast,,,,463,,,
Marshall,CENTER 3,U.S. Senate,,Mike Braun,R,332,100,232,0
Marshall,CENTER 3,U.S. Senate,,Joe Donnelly,D,367,159,208,0
Marshall,CENTER 3,U.S. Senate,,Lucy M Brenton,L,22,5,17,0
Marshall,CENTER 3,U.S. Senate,,Write in,,1,0,1,0
Marshall,CENTER 3,Secretary of State,,Connie Lawson,R,393,123,270,0
Marshall,CENTER 3,Secretary of State,,Jim Harper,D,294,130,164,0
Marshall,CENTER 3,Secretary of State,,Mark W. Rutherford,L,29,8,21,0
Marshall,CENTER 3,Secretary of State,,Write in,,1,1,0,0
Marshall,CENTER 3,Auditor of State,,Tera Klutz,R,385,120,265,0
Marshall,CENTER 3,Auditor of State,,Joselyn Whitticker,D,301,128,173,0
Marshall,CENTER 3,Auditor of State,,John Schick,L,23,7,16,0
Marshall,CENTER 3,Treasurer of State,,Kelly Mitchell,R,405,129,276,0
Marshall,CENTER 3,Treasurer of State,,John C. Aguilera,D,302,127,175,0
Marshall,CENTER 3,U.S. House,2,Jackie Walorski,R,370,126,244,0
Marshall,CENTER 3,U.S. House,2,Mel Hall,D,345,135,210,0
Marshall,CENTER 3,U.S. House,2,Write in,,3,2,1,0
Marshall,CENTER 3,State Representative,17,Jack Jordan,R,378,120,258,0
Marshall,CENTER 3,State Representative,17,Michelle Livinghouse,D,342,140,202,0
Marshall,CENTER 4,Registered Voters,,,,1524,,,
Marshall,CENTER 4,Ballots Cast,,,,466,,,
Marshall,CENTER 4,U.S. Senate,,Mike Braun,R,371,144,227,0
Marshall,CENTER 4,U.S. Senate,,Joe Donnelly,D,358,150,208,0
Marshall,CENTER 4,U.S. Senate,,Lucy M Brenton,L,36,10,26,0
Marshall,CENTER 4,U.S. Senate,,Write in,,0,0,0,0
Marshall,CENTER 4,Secretary of State,,Connie Lawson,R,442,178,264,0
Marshall,CENTER 4,Secretary of State,,Jim Harper,D,283,113,170,0
Marshall,CENTER 4,Secretary of State,,Mark W. Rutherford,L,32,6,26,0
Marshall,CENTER 4,Secretary of State,,Write in,,0,0,0,0
Marshall,CENTER 4,Auditor of State,,Tera Klutz,R,427,171,256,0
Marshall,CENTER 4,Auditor of State,,Joselyn Whitticker,D,297,122,175,0
Marshall,CENTER 4,Auditor of State,,John Schick,L,28,3,25,0
Marshall,CENTER 4,Treasurer of State,,Kelly Mitchell,R,452,174,278,0
Marshall,CENTER 4,Treasurer of State,,John C. Aguilera,D,298,123,175,0
Marshall,CENTER 4,U.S. House,2,Jackie Walorski,R,412,170,242,0
Marshall,CENTER 4,U.S. House,2,Mel Hall,D,352,138,214,0
Marshall,CENTER 4,U.S. House,2,Write in,,2,0,2,0
Marshall,CENTER 4,State Representative,17,Jack Jordan,R,421,167,254,0
Marshall,CENTER 4,State Representative,17,Michelle Livinghouse,D,342,139,203,0
Marshall,CENTER 5,Registered Voters,,,,1012,,,
Marshall,CENTER 5,Ballots Cast,,,,356,,,
Marshall,CENTER 5,U.S. Senate,,Mike Braun,R,351,140,211,0
Marshall,CENTER 5,U.S. Senate,,Joe Donnelly,D,192,65,127,0
Marshall,CENTER 5,U.S. Senate,,Lucy M Brenton,L,17,4,13,0
Marshall,CENTER 5,U.S. Senate,,Write in,,0,0,0,0
Marshall,CENTER 5,Secretary of State,,Connie Lawson,R,403,151,252,0
Marshall,CENTER 5,Secretary of State,,Jim Harper,D,133,48,85,0
Marshall,CENTER 5,Secretary of State,,Mark W. Rutherford,L,18,7,11,0
Marshall,CENTER 5,Secretary of State,,Write in,,1,0,1,0
Marshall,CENTER 5,Auditor of State,,Tera Klutz,R,398,147,251,0
Marshall,CENTER 5,Auditor of State,,Joselyn Whitticker,D,141,53,88,0
Marshall,CENTER 5,Auditor of State,,John Schick,L,12,5,7,0
Marshall,CENTER 5,Treasurer of State,,Kelly Mitchell,R,422,154,268,0
Marshall,CENTER 5,Treasurer of State,,John C. Aguilera,D,130,51,79,0
Marshall,CENTER 5,U.S. House,2,Jackie Walorski,R,388,151,237,0
Marshall,CENTER 5,U.S. House,2,Mel Hall,D,170,57,113,0
Marshall,CENTER 5,U.S. House,2,Write in,,0,0,0,0
Marshall,CENTER 5,State Representative,17,Jack Jordan,R,389,144,245,0
Marshall,CENTER 5,State Representative,17,Michelle Livinghouse,D,169,66,103,0
Marshall,CENTER 6,Registered Voters,,,,1036,,,
Marshall,CENTER 6,Ballots Cast,,,,392,,,
Marshall,CENTER 6,U.S. Senate,,Mike Braun,R,343,114,229,0
Marshall,CENTER 6,U.S. Senate,,Joe Donnelly,D,254,107,147,0
Marshall,CENTER 6,U.S. Senate,,Lucy M Brenton,L,20,5,15,0
Marshall,CENTER 6,U.S. Senate,,Write in,,0,0,0,0
Marshall,CENTER 6,Secretary of State,,Connie Lawson,R,409,137,272,0
Marshall,CENTER 6,Secretary of State,,Jim Harper,D,181,86,95,0
Marshall,CENTER 6,Secretary of State,,Mark W. Rutherford,L,21,3,18,0
Marshall,CENTER 6,Secretary of State,,Write in,,0,0,0,0
Marshall,CENTER 6,Auditor of State,,Tera Klutz,R,395,136,259,0
Marshall,CENTER 6,Auditor of State,,Joselyn Whitticker,D,191,86,105,0
Marshall,CENTER 6,Auditor of State,,John Schick,L,16,3,13,0
Marshall,CENTER 6,Treasurer of State,,Kelly Mitchell,R,417,144,273,0
Marshall,CENTER 6,Treasurer of State,,John C. Aguilera,D,185,80,105,0
Marshall,CENTER 6,U.S. House,2,Jackie Walorski,R,383,127,256,0
Marshall,CENTER 6,U.S. House,2,Mel Hall,D,223,97,126,0
Marshall,CENTER 6,U.S. House,2,Write in,,0,0,0,0
Marshall,CENTER 6,State Representative,17,Jack Jordan,R,392,135,257,0
Marshall,CENTER 6,State Representative,17,Michelle Livinghouse,D,222,91,131,0
Marshall,CENTER 7,Registered Voters,,,,1063,,,
Marshall,CENTER 7,Ballots Cast,,,,408,,,
Marshall,CENTER 7,U.S. Senate,,Mike Braun,R,368,126,242,0
Marshall,CENTER 7,U.S. Senate,,Joe Donnelly,D,262,112,150,0
Marshall,CENTER 7,U.S. Senate,,Lucy M Brenton,L,16,5,11,0
Marshall,CENTER 7,U.S. Senate,,Write in,,0,0,0,0
Marshall,CENTER 7,Secretary of State,,Connie Lawson,R,420,148,272,0
Marshall,CENTER 7,Secretary of State,,Jim Harper,D,192,84,108,0
Marshall,CENTER 7,Secretary of State,,Mark W. Rutherford,L,20,6,14,0
Marshall,CENTER 7,Secretary of State,,Write in,,1,1,0,0
Marshall,CENTER 7,Auditor of State,,Tera Klutz,R,418,148,270,0
Marshall,CENTER 7,Auditor of State,,Joselyn Whitticker,D,192,86,106,0
Marshall,CENTER 7,Auditor of State,,John Schick,L,16,4,12,0
Marshall,CENTER 7,Treasurer of State,,Kelly Mitchell,R,438,157,281,0
Marshall,CENTER 7,Treasurer of State,,John C. Aguilera,D,190,83,107,0
Marshall,CENTER 7,U.S. House,2,Jackie Walorski,R,393,144,249,0
Marshall,CENTER 7,U.S. House,2,Mel Hall,D,249,97,152,0
Marshall,CENTER 7,U.S. House,2,Write in,,1,1,0,0
Marshall,CENTER 7,State Representative,17,Jack Jordan,R,392,140,252,0
Marshall,CENTER 7,State Representative,17,Michelle Livinghouse,D,248,99,149,0
Marshall,CENTER 8,Registered Voters,,,,763,,,
Marshall,CENTER 8,Ballots Cast,,,,257,,,
Marshall,CENTER 8,U.S. Senate,,Mike Braun,R,274,107,167,0
Marshall,CENTER 8,U.S. Senate,,Joe Donnelly,D,175,95,80,0
Marshall,CENTER 8,U.S. Senate,,Lucy M Brenton,L,8,2,6,0
Marshall,CENTER 8,U.S. Senate,,Write in,,0,0,0,0
Marshall,CENTER 8,Secretary of State,,Connie Lawson,R,310,125,185,0
Marshall,CENTER 8,Secretary of State,,Jim Harper,D,132,72,60,0
Marshall,CENTER 8,Secretary of State,,Mark W. Rutherford,L,9,5,4,0
Marshall,CENTER 8,Secretary of State,,Write in,,0,0,0,0
Marshall,CENTER 8,Auditor of State,,Tera Klutz,R,302,124,178,0
Marshall,CENTER 8,Auditor of State,,Joselyn Whitticker,D,134,71,63,0
Marshall,CENTER 8,Auditor of State,,John Schick,L,10,5,5,0
Marshall,CENTER 8,Treasurer of State,,Kelly Mitchell,R,316,129,187,0
Marshall,CENTER 8,Treasurer of State,,John C. Aguilera,D,130,73,57,0
Marshall,CENTER 8,U.S. House,2,Jackie Walorski,R,286,113,173,0
Marshall,CENTER 8,U.S. House,2,Mel Hall,D,169,91,78,0
Marshall,CENTER 8,U.S. House,2,Write in,,0,0,0,0
Marshall,CENTER 8,State Representative,17,Jack Jordan,R,292,117,175,0
Marshall,CENTER 8,State Representative,17,Michelle Livinghouse,D,160,85,75,0
Marshall,GERMAN 1,Registered Voters,,,,1048,,,
Marshall,GERMAN 1,Ballots Cast,,,,422,,,
Marshall,GERMAN 1,U.S. Senate,,Mike Braun,R,415,122,293,0
Marshall,GERMAN 1,U.S. Senate,,Joe Donnelly,D,156,47,109,0
Marshall,GERMAN 1,U.S. Senate,,Lucy M Brenton,L,21,6,15,0
Marshall,GERMAN 1,U.S. Senate,,Write in,,0,0,0,0
Marshall,GERMAN 1,Secretary of State,,Connie Lawson,R,467,134,333,0
Marshall,GERMAN 1,Secretary of State,,Jim Harper,D,98,31,67,0
Marshall,GERMAN 1,Secretary of State,,Mark W. Rutherford,L,18,4,14,0
Marshall,GERMAN 1,Secretary of State,,Write in,,0,0,0,0
Marshall,GERMAN 1,Auditor of State,,Tera Klutz,R,456,133,323,0
Marshall,GERMAN 1,Auditor of State,,Joselyn Whitticker,D,111,34,77,0
Marshall,GERMAN 1,Auditor of State,,John Schick,L,14,2,12,0
Marshall,GERMAN 1,Treasurer of State,,Kelly Mitchell,R,477,135,342,0
Marshall,GERMAN 1,Treasurer of State,,John C. Aguilera,D,100,33,67,0
Marshall,GERMAN 1,U.S. House,2,Jackie Walorski,R,440,129,311,0
Marshall,GERMAN 1,U.S. House,2,Mel Hall,D,147,45,102,0
Marshall,GERMAN 1,U.S. House,2,Write in,,1,0,1,0
Marshall,GERMAN 1,State Representative,17,Jack Jordan,R,469,129,340,0
Marshall,GERMAN 1,State Representative,17,Michelle Livinghouse,D,112,39,73,0
Marshall,GERMAN 2,Registered Voters,,,,908,,,
Marshall,GERMAN 2,Ballots Cast,,,,418,,,
Marshall,GERMAN 2,U.S. Senate,,Mike Braun,R,382,90,292,0
Marshall,GERMAN 2,U.S. Senate,,Joe Donnelly,D,141,38,103,0
Marshall,GERMAN 2,U.S. Senate,,Lucy M Brenton,L,17,0,17,0
Marshall,GERMAN 2,U.S. Senate,,Write in,,0,0,0,0
Marshall,GERMAN 2,Secretary of State,,Connie Lawson,R,433,100,333,0
Marshall,GERMAN 2,Secretary of State,,Jim Harper,D,87,28,59,0
Marshall,GERMAN 2,Secretary of State,,Mark W. Rutherford,L,17,1,16,0
Marshall,GERMAN 2,Secretary of State,,Write in,,0,0,0,0
Marshall,GERMAN 2,Auditor of State,,Tera Klutz,R,419,94,325,0
Marshall,GERMAN 2,Auditor of State,,Joselyn Whitticker,D,89,28,61,0
Marshall,GERMAN 2,Auditor of State,,John Schick,L,15,2,13,0
Marshall,GERMAN 2,Treasurer of State,,Kelly Mitchell,R,436,95,341,0
Marshall,GERMAN 2,Treasurer of State,,John C. Aguilera,D,92,31,61,0
Marshall,GERMAN 2,U.S. House,2,Jackie Walorski,R,410,97,313,0
Marshall,GERMAN 2,U.S. House,2,Mel Hall,D,125,30,95,0
Marshall,GERMAN 2,U.S. House,2,Write in,,0,0,0,0
Marshall,GERMAN 2,State Representative,17,Jack Jordan,R,443,97,346,0
Marshall,GERMAN 2,State Representative,17,Michelle Livinghouse,D,89,31,58,0
Marshall,GERMAN 3,Registered Voters,,,,725,,,
Marshall,GERMAN 3,Ballots Cast,,,,299,,,
Marshall,GERMAN 3,U.S. Senate,,Mike Braun,R,256,77,179,0
Marshall,GERMAN 3,U.S. Senate,,Joe Donnelly,D,154,47,107,0
Marshall,GERMAN 3,U.S. Senate,,Lucy M Brenton,L,9,1,8,0
Marshall,GERMAN 3,U.S. Senate,,Write in,,0,0,0,0
Marshall,GERMAN 3,Secretary of State,,Connie Lawson,R,307,86,221,0
Marshall,GERMAN 3,Secretary of State,,Jim Harper,D,99,35,64,0
Marshall,GERMAN 3,Secretary of State,,Mark W. Rutherford,L,12,2,10,0
Marshall,GERMAN 3,Secretary of State,,Write in,,0,0,0,0
Marshall,GERMAN 3,Auditor of State,,Tera Klutz,R,292,86,206,0
Marshall,GERMAN 3,Auditor of State,,Joselyn Whitticker,D,108,35,73,0
Marshall,GERMAN 3,Auditor of State,,John Schick,L,10,1,9,0
Marshall,GERMAN 3,Treasurer of State,,Kelly Mitchell,R,310,89,221,0
Marshall,GERMAN 3,Treasurer of State,,John C. Aguilera,D,102,34,68,0
Marshall,GERMAN 3,U.S. House,2,Jackie Walorski,R,287,84,203,0
Marshall,GERMAN 3,U.S. House,2,Mel Hall,D,128,39,89,0
Marshall,GERMAN 3,U.S. House,2,Write in,,0,0,0,0
Marshall,GERMAN 3,State Representative,17,Jack Jordan,R,314,89,225,0
Marshall,GERMAN 3,State Representative,17,Michelle Livinghouse,D,106,36,70,0
Marshall,GERMAN 4,Registered Voters,,,,834,,,
Marshall,GERMAN 4,Ballots Cast,,,,247,,,
Marshall,GERMAN 4,U.S. Senate,,Mike Braun,R,203,68,135,0
Marshall,GERMAN 4,U.S. Senate,,Joe Donnelly,D,148,52,96,0
Marshall,GERMAN 4,U.S. Senate,,Lucy M Brenton,L,14,2,12,0
Marshall,GERMAN 4,U.S. Senate,,Write in,,0,0,0,0
Marshall,GERMAN 4,Secretary of State,,Connie Lawson,R,235,81,154,0
Marshall,GERMAN 4,Secretary of State,,Jim Harper,D,113,39,74,0
Marshall,GERMAN 4,Secretary of State,,Mark W. Rutherford,L,13,1,12,0
Marshall,GERMAN 4,Secretary of State,,Write in,,0,0,0,0
Marshall,GERMAN 4,Auditor of State,,Tera Klutz,R,228,78,150,0
Marshall,GERMAN 4,Auditor of State,,Joselyn Whitticker,D,114,39,75,0
Marshall,GERMAN 4,Auditor of State,,John Schick,L,13,2,11,0
Marshall,GERMAN 4,Treasurer of State,,Kelly Mitchell,R,245,82,163,0
Marshall,GERMAN 4,Treasurer of State,,John C. Aguilera,D,108,37,71,0
Marshall,GERMAN 4,U.S. House,2,Jackie Walorski,R,219,73,146,0
Marshall,GERMAN 4,U.S. House,2,Mel Hall,D,143,48,95,0
Marshall,GERMAN 4,U.S. House,2,Write in,,0,0,0,0
Marshall,GERMAN 4,State Representative,17,Jack Jordan,R,248,82,166,0
Marshall,GERMAN 4,State Representative,17,Michelle Livinghouse,D,112,39,73,0
Marshall,GERMAN 5,Registered Voters,,,,1043,,,
Marshall,GERMAN 5,Ballots Cast,,,,385,,,
Marshall,GERMAN 5,U.S. Senate,,Mike Braun,R,330,78,252,0
Marshall,GERMAN 5,U.S. Senate,,Joe Donnelly,D,162,52,110,0
Marshall,GERMAN 5,U.S. Senate,,Lucy M Brenton,L,26,4,22,0
Marshall,GERMAN 5,U.S. Senate,,Write in,,0,0,0,0
Marshall,GERMAN 5,Secretary of State,,Connie Lawson,R,364,88,276,0
Marshall,GERMAN 5,Secretary of State,,Jim Harper,D,125,41,84,0
Marshall,GERMAN 5,Secretary of State,,Mark W. Rutherford,L,20,3,17,0
Marshall,GERMAN 5,Secretary of State,,Write in,,1,0,1,0
Marshall,GERMAN 5,Auditor of State,,Tera Klutz,R,356,88,268,0
Marshall,GERMAN 5,Auditor of State,,Joselyn Whitticker,D,133,41,92,0
Marshall,GERMAN 5,Auditor of State,,John Schick,L,19,3,16,0
Marshall,GERMAN 5,Treasurer of State,,Kelly Mitchell,R,369,91,278,0
Marshall,GERMAN 5,Treasurer of State,,John C. Aguilera,D,137,41,96,0
Marshall,GERMAN 5,U.S. House,2,Jackie Walorski,R,342,85,257,0
Marshall,GERMAN 5,U.S. House,2,Mel Hall,D,171,50,121,0
Marshall,GERMAN 5,U.S. House,2,Write in,,4,1,3,0
